sample_id,week,date,pH,viscosity,color_delta,temperature,humidity
S-D-001,4,2025-02-28,,12029,0.729,24.8,47.7
S-A-002,4,2025-02-28,6.72,11789,0.675,23.6,48.1
S-A-003,4,2025-02-28,6.97,11770,1.142,23.8,51.7
S-C-004,4,2025-02-28,6.89,12094,1.182,25.2,54.9
S-B-005,4,2025-02-28,6.72,,1.416,24.6,52.7
S-A-006,4,2025-02-28,6.97,12131,1.14,24.9,49.1
S-D-007,4,2025-02-28,6.73,11998,1.794,23.7,53.7
S-A-008,4,2025-02-28,6.71,11806,1.349,24.7,49.4
S-B-009,4,2025-02-28,6.79,11496,1.228,25.2,44.7
S-C-010,4,2025-02-28,6.9,11343,0.878,25.1,46.8
S-B-011,4,2025-02-28,6.7,11924,0.698,25.0,46.1
S-A-012,4,2025-02-28,6.73,12504,1.035,24.8,53.4
S-B-013,4,2025-02-28,6.77,11981,0.911,24.0,54.3
S-A-014,4,2025-02-28,6.77,11073,0.799,24.6,45.6
S-A-015,4,2025-02-28,7.06,11527,1.737,23.9,47.2
S-A-016,4,2025-02-28,6.93,11992,1.827,24.9,50.7
S-C-017,4,2025-02-28,6.69,12420,1.262,25.0,53.0
S-B-018,4,2025-02-28,6.89,11623,1.379,24.1,47.4
S-C-019,4,2025-02-28,6.79,12158,1.018,25.5,49.6
S-C-020,4,2025-02-28,,11764,1.313,25.2,52.9
S-D-021,4,2025-02-28,6.77,11990,1.265,24.0,50.6
S-D-022,4,2025-02-28,6.99,8502,1.08,24.4,52.8
S-D-023,4,2025-02-28,6.93,12376,2.202,24.5,54.1
S-A-024,4,2025-02-28,6.78,,0.789,25.2,46.8
S-D-025,4,2025-02-28,,12097,0.923,24.5,49.9
S-A-026,4,2025-02-28,6.62,12277,1.267,24.6,47.4
S-D-027,4,2025-02-28,6.91,11182,1.341,23.8,46.3
S-C-028,4,2025-02-28,6.84,11833,1.044,25.4,49.5
S-C-029,4,2025-02-28,6.68,11267,0.75,25.0,45.1
S-A-030,4,2025-02-28,6.56,11494,0.728,23.7,54.1
S-A-031,4,2025-02-28,7.07,11386,1.309,24.9,50.8
S-C-032,4,2025-02-28,7.12,12111,0.895,23.6,55.1
S-B-033,4,2025-02-28,6.8,11326,1.072,23.8,46.9
S-C-034,4,2025-02-28,6.84,11433,1.638,25.1,52.3
S-C-035,4,2025-02-28,6.95,11906,1.393,25.0,55.5
S-A-036,4,2025-02-28,6.68,11450,0.678,24.4,46.7
S-B-037,4,2025-02-28,6.71,11401,1.677,25.1,52.6
S-B-038,4,2025-02-28,6.91,11782,0.852,23.7,44.1
S-C-039,4,2025-02-28,6.85,11876,0.737,24.5,45.2
S-C-040,4,2025-02-28,6.88,11830,1.152,24.3,53.4
S-B-041,4,2025-02-28,6.72,11720,1.04,24.1,49.9
S-D-042,4,2025-02-28,6.86,11638,1.865,24.2,55.3
S-B-043,4,2025-02-28,6.72,11842,1.601,25.2,48.6
S-D-044,4,2025-02-28,6.81,12037,0.474,25.4,45.6
S-B-045,4,2025-02-28,6.71,8407,1.526,24.9,49.9
S-D-046,4,2025-02-28,6.78,11700,1.89,24.2,55.2
S-B-047,4,2025-02-28,6.72,11455,1.626,24.9,49.3
S-D-048,4,2025-02-28,6.75,11723,1.006,24.1,47.0
S-D-049,4,2025-02-28,7.21,12211,0.799,24.5,55.0
S-C-050,4,2025-02-28,6.82,11635,0.502,24.7,55.0
S-C-051,4,2025-02-28,6.9,12157,0.669,24.8,55.6
S-A-052,4,2025-02-28,6.72,12031,1.22,24.5,50.2
S-D-053,4,2025-02-28,6.68,12037,0.938,23.8,56.0
S-A-054,4,2025-02-28,6.59,12331,1.834,23.8,47.7
S-D-055,4,2025-02-28,6.76,,1.123,23.6,44.5
S-C-056,4,2025-02-28,6.64,11530,0.718,23.8,55.8
S-B-057,4,2025-02-28,6.72,12076,0.505,24.8,46.2
S-B-058,4,2025-02-28,6.86,11497,1.332,23.5,46.6
S-A-059,4,2025-02-28,6.56,11548,0.828,23.9,45.4
S-C-060,4,2025-02-28,6.77,11461,0.885,24.7,48.2
S-C-061,4,2025-02-28,6.97,11604,1.037,24.0,45.4
S-D-062,4,2025-02-28,6.69,11657,1.307,24.3,46.2
S-B-063,4,2025-02-28,6.64,,1.421,24.4,44.6
S-B-064,4,2025-02-28,6.9,11899,1.571,24.6,51.8
S-D-065,4,2025-02-28,6.74,11808,1.864,24.1,47.3
S-D-066,4,2025-02-28,6.85,11327,0.924,24.5,50.1
S-C-067,4,2025-02-28,6.56,11668,1.227,23.9,49.1
S-B-068,4,2025-02-28,6.64,11461,2.659,24.4,48.2
S-A-069,4,2025-02-28,6.82,11582,1.398,24.2,52.5
S-B-070,4,2025-02-28,6.61,11919,0.484,25.1,50.8
S-B-071,4,2025-02-28,6.7,12218,1.123,25.2,55.8
S-D-072,4,2025-02-28,6.91,12618,0.589,25.2,45.5
S-C-073,4,2025-02-28,6.92,11352,0.993,24.7,47.2
S-A-074,4,2025-02-28,6.64,11390,1.582,24.9,54.5
S-A-075,4,2025-02-28,7.0,11373,2.092,24.8,52.4
S-D-076,4,2025-02-28,7.02,11863,1.615,23.9,47.2
S-B-077,4,2025-02-28,6.64,11660,0.863,23.6,45.2
S-A-078,4,2025-02-28,6.99,11958,1.099,24.4,55.9
S-B-079,4,2025-02-28,6.89,11628,1.776,23.7,48.3
S-B-080,4,2025-02-28,6.58,12198,1.379,25.0,53.1
