sample_id,week,date,pH,viscosity,color_delta,temperature,humidity
S-C-001,2,2025-02-14,6.94,12361,0.652,25.4,49.7
S-A-002,2,2025-02-14,7.14,11895,0.317,23.8,53.7
S-B-003,2,2025-02-14,7.29,12645,0.045,24.0,50.3
S-D-004,2,2025-02-14,6.94,12157,1.124,24.7,52.9
S-B-005,2,2025-02-14,7.09,12422,0.632,23.8,48.9
S-A-006,2,2025-02-14,7.29,12354,1.222,24.9,49.4
S-B-007,2,2025-02-14,6.93,12470,0.075,25.2,44.9
S-C-008,2,2025-02-14,6.84,11986,0.768,24.1,48.8
S-D-009,2,2025-02-14,7.14,12341,0.279,24.0,45.1
S-A-010,2,2025-02-14,7.15,12748,0.598,24.0,44.5
S-D-011,2,2025-02-14,7.18,12204,0.112,24.5,45.1
S-A-012,2,2025-02-14,6.99,12468,0.321,24.9,47.5
S-A-013,2,2025-02-14,6.97,12373,0.129,24.3,50.2
S-D-014,2,2025-02-14,7.46,12134,0.734,24.2,53.1
S-B-015,2,2025-02-14,7.09,12458,0.405,24.5,44.3
S-B-016,2,2025-02-14,7.4,12281,0.662,24.3,46.7
S-A-017,2,2025-02-14,7.05,12161,0.903,24.9,49.0
S-D-018,2,2025-02-14,7.05,12020,0.475,25.3,50.1
S-C-019,2,2025-02-14,7.14,11717,0.223,24.0,44.0
S-D-020,2,2025-02-14,7.32,12516,0.274,24.5,48.0
S-C-021,2,2025-02-14,7.39,11683,0.628,25.2,48.9
S-D-022,2,2025-02-14,7.25,,0.988,25.1,55.8
S-C-023,2,2025-02-14,7.31,11853,0.145,24.4,52.7
S-B-024,2,2025-02-14,7.17,12766,0.916,24.0,51.5
S-C-025,2,2025-02-14,7.28,,0.346,24.9,53.1
S-A-026,2,2025-02-14,7.19,12343,1.205,24.1,46.7
S-A-027,2,2025-02-14,6.88,12459,0.701,25.1,47.5
S-D-028,2,2025-02-14,7.07,11812,0.314,23.8,44.9
S-B-029,2,2025-02-14,6.9,12305,0.664,24.4,52.0
S-C-030,2,2025-02-14,7.31,12222,0.389,24.4,48.1
S-D-031,2,2025-02-14,7.04,11991,0.106,25.2,45.3
S-C-032,2,2025-02-14,7.65,12550,0.585,25.5,51.9
S-A-033,2,2025-02-14,7.31,12035,1.03,25.1,46.8
S-B-034,2,2025-02-14,6.82,11972,0.185,24.9,51.9
S-A-035,2,2025-02-14,7.04,12601,0.03,23.7,47.5
S-B-036,2,2025-02-14,6.98,12439,0.197,24.2,50.0
S-D-037,2,2025-02-14,7.22,12248,1.096,24.4,44.9
S-D-038,2,2025-02-14,,12830,0.452,24.2,53.5
S-D-039,2,2025-02-14,6.93,12666,0.57,24.8,48.5
S-C-040,2,2025-02-14,7.25,12482,0.456,23.6,53.9
S-D-041,2,2025-02-14,7.13,12361,1.891,23.7,46.8
S-C-042,2,2025-02-14,7.22,12063,0.021,25.4,49.0
S-D-043,2,2025-02-14,6.94,11830,0.107,24.1,52.3
S-B-044,2,2025-02-14,6.86,12384,0.456,24.9,50.5
S-D-045,2,2025-02-14,7.04,13077,1.308,23.7,46.5
S-A-046,2,2025-02-14,7.01,12351,0.309,23.8,50.8
S-B-047,2,2025-02-14,6.86,12016,0.674,25.1,51.2
S-B-048,2,2025-02-14,7.36,11780,0.421,23.7,54.4
S-B-049,2,2025-02-14,7.08,12271,0.58,24.3,45.4
S-C-050,2,2025-02-14,,12156,0.584,24.5,55.3
S-C-051,2,2025-02-14,6.73,12501,1.024,24.3,52.2
S-A-052,2,2025-02-14,7.16,12513,0.391,23.8,45.5
S-C-053,2,2025-02-14,6.95,12575,0.468,24.4,53.5
S-B-054,2,2025-02-14,7.27,11731,0.956,24.3,53.9
S-C-055,2,2025-02-14,6.9,12497,0.438,25.3,44.8
S-A-056,2,2025-02-14,7.16,12290,0.214,23.8,44.7
S-A-057,2,2025-02-14,6.84,12624,0.991,25.3,44.6
S-A-058,2,2025-02-14,7.04,12116,0.47,24.8,46.7
S-C-059,2,2025-02-14,7.19,12460,0.663,24.6,53.2
S-A-060,2,2025-02-14,7.26,11959,0.229,24.9,44.3
S-C-061,2,2025-02-14,7.04,12452,0.964,23.6,52.9
S-B-062,2,2025-02-14,7.27,12065,0.909,23.8,47.7
S-A-063,2,2025-02-14,7.16,12183,0.604,23.7,49.3
S-D-064,2,2025-02-14,7.05,12227,1.264,23.7,49.2
S-D-065,2,2025-02-14,6.97,12256,0.813,23.6,46.5
S-C-066,2,2025-02-14,7.53,12262,0.796,24.5,49.2
S-B-067,2,2025-02-14,,12299,0.654,25.2,44.5
S-C-068,2,2025-02-14,7.05,,0.361,24.9,49.0
S-C-069,2,2025-02-14,7.27,12942,0.007,24.2,49.2
S-D-070,2,2025-02-14,7.16,12002,0.54,24.1,48.1
S-A-071,2,2025-02-14,7.0,12262,0.661,25.4,51.7
S-C-072,2,2025-02-14,6.96,12432,1.114,25.0,51.9
S-D-073,2,2025-02-14,6.91,12386,0.069,25.3,51.7
S-C-074,2,2025-02-14,6.99,12365,0.722,24.4,47.6
S-A-075,2,2025-02-14,7.04,12605,1.307,23.7,54.4
S-D-076,2,2025-02-14,7.2,11929,0.718,25.1,54.8
S-B-077,2,2025-02-14,7.03,12607,0.683,23.7,54.8
S-B-078,2,2025-02-14,7.14,12756,0.753,25.5,50.3
S-C-079,2,2025-02-14,6.9,12636,0.543,24.8,48.0
S-D-080,2,2025-02-14,7.06,12197,1.227,24.8,54.9
