sample_id,week,date,pH,viscosity,color_delta,temperature,humidity
S-A-001,1,2025-02-07,7.32,12537,0.409,24.9,54.7
S-A-002,1,2025-02-07,7.44,12681,0.462,24.7,50.7
S-D-003,1,2025-02-07,7.24,12893,0.317,25.1,52.4
S-C-004,1,2025-02-07,7.18,12734,0.534,24.2,48.1
S-D-005,1,2025-02-07,6.81,12317,0.066,25.2,51.4
S-A-006,1,2025-02-07,7.33,12706,0.382,24.1,45.0
S-C-007,1,2025-02-07,6.93,12664,0.496,24.8,52.4
S-B-008,1,2025-02-07,7.32,12280,0.236,24.4,47.2
S-B-009,1,2025-02-07,7.08,11970,0.347,23.6,47.8
S-C-010,1,2025-02-07,7.09,12582,0.758,25.3,51.7
S-C-011,1,2025-02-07,7.2,12182,0.028,25.5,45.7
S-A-012,1,2025-02-07,7.13,12601,0.494,24.9,51.2
S-D-013,1,2025-02-07,6.81,12354,0.339,24.9,52.2
S-C-014,1,2025-02-07,7.18,12744,0.576,24.4,55.4
S-B-015,1,2025-02-07,7.13,12493,0.242,24.5,46.4
S-A-016,1,2025-02-07,7.0,12217,0.03,23.7,48.4
S-B-017,1,2025-02-07,7.49,12719,0.46,24.5,44.8
S-B-018,1,2025-02-07,7.18,12109,0.517,23.8,50.3
S-B-019,1,2025-02-07,7.17,12205,0.117,25.3,49.4
S-A-020,1,2025-02-07,7.07,12315,0.148,23.9,44.9
S-A-021,1,2025-02-07,7.24,12411,0.345,23.9,45.6
S-D-022,1,2025-02-07,7.42,12514,0.752,24.3,45.1
S-D-023,1,2025-02-07,6.96,12599,0.233,23.7,48.8
S-B-024,1,2025-02-07,6.82,12633,0.763,23.8,46.2
S-A-025,1,2025-02-07,6.92,12708,0.178,25.5,54.0
S-B-026,1,2025-02-07,7.18,12673,0.699,23.9,48.8
S-D-027,1,2025-02-07,7.17,13022,0.103,25.4,55.9
S-B-028,1,2025-02-07,7.24,12577,0.561,23.6,52.8
S-A-029,1,2025-02-07,7.05,12321,0.441,25.4,45.0
S-B-030,1,2025-02-07,,11911,0.842,24.6,50.9
S-C-031,1,2025-02-07,7.29,12419,0.238,24.3,52.1
S-A-032,1,2025-02-07,7.09,12917,0.333,24.6,45.2
S-B-033,1,2025-02-07,7.48,12248,0.579,23.8,54.0
S-A-034,1,2025-02-07,7.1,12311,0.142,25.4,45.2
S-A-035,1,2025-02-07,7.2,12325,0.245,24.2,52.2
S-C-036,1,2025-02-07,7.3,,0.134,23.7,49.1
S-B-037,1,2025-02-07,7.12,12322,0.272,24.4,44.1
S-B-038,1,2025-02-07,7.01,11954,0.086,24.7,45.8
S-A-039,1,2025-02-07,7.28,12377,0.301,25.1,54.6
S-B-040,1,2025-02-07,7.27,12696,0.168,23.8,53.6
S-B-041,1,2025-02-07,7.19,12231,0.953,25.2,53.7
S-A-042,1,2025-02-07,7.09,12437,0.376,24.4,46.4
S-B-043,1,2025-02-07,7.24,12934,0.04,23.6,53.3
S-C-044,1,2025-02-07,7.27,12637,0.226,25.4,46.1
S-A-045,1,2025-02-07,7.09,12342,0.397,25.5,45.4
S-A-046,1,2025-02-07,7.04,12495,0.278,25.4,50.5
S-B-047,1,2025-02-07,7.16,12586,0.116,24.1,54.2
S-C-048,1,2025-02-07,7.08,12367,0.008,24.9,50.7
S-D-049,1,2025-02-07,7.06,11918,0.047,24.6,44.0
S-C-050,1,2025-02-07,7.12,12183,0.394,23.9,49.7
S-B-051,1,2025-02-07,7.13,12293,0.014,23.7,55.4
S-B-052,1,2025-02-07,7.02,12555,0.398,25.5,51.3
S-B-053,1,2025-02-07,7.17,12210,0.117,24.9,54.7
S-D-054,1,2025-02-07,7.25,12605,1.008,24.9,49.6
S-A-055,1,2025-02-07,6.94,12645,0.288,24.7,55.4
S-D-056,1,2025-02-07,6.81,12683,0.141,25.3,52.9
S-B-057,1,2025-02-07,7.26,12295,0.38,24.0,49.3
S-C-058,1,2025-02-07,7.03,12341,0.752,23.8,46.8
S-A-059,1,2025-02-07,7.08,12637,0.16,25.2,48.7
S-A-060,1,2025-02-07,7.21,12817,0.234,24.3,44.1
S-D-061,1,2025-02-07,6.96,12383,0.563,24.5,47.3
S-D-062,1,2025-02-07,6.9,12407,0.456,25.3,55.8
S-A-063,1,2025-02-07,7.34,12659,0.47,24.0,47.9
S-D-064,1,2025-02-07,7.13,12369,1.268,24.3,54.0
S-A-065,1,2025-02-07,7.34,12499,0.109,24.8,53.1
S-A-066,1,2025-02-07,6.99,12339,0.096,24.4,45.4
S-C-067,1,2025-02-07,7.21,12319,0.219,23.7,53.8
S-A-068,1,2025-02-07,7.04,12854,0.074,25.3,48.5
S-B-069,1,2025-02-07,7.41,12808,0.619,23.7,55.8
S-D-070,1,2025-02-07,7.04,12440,0.172,24.8,44.2
S-D-071,1,2025-02-07,7.41,12396,0.598,24.4,52.8
S-D-072,1,2025-02-07,6.99,11952,0.464,24.7,47.9
S-C-073,1,2025-02-07,7.28,12348,0.236,24.3,44.3
S-B-074,1,2025-02-07,7.25,12358,0.545,24.1,51.2
S-B-075,1,2025-02-07,7.41,12745,0.372,24.9,51.8
S-A-076,1,2025-02-07,7.22,12416,0.692,24.0,52.0
S-C-077,1,2025-02-07,6.98,12724,0.003,24.0,47.0
S-A-078,1,2025-02-07,7.4,12467,0.681,24.9,46.3
S-C-079,1,2025-02-07,7.48,12430,0.192,24.1,52.5
S-A-080,1,2025-02-07,7.34,12061,0.097,23.8,54.4
